subject,take,class_index,view,frame_index,hip_x,hip_y
1,1,1,1,1100,585.7228840927503,531.6433428290198
1,1,1,2,1100,1002.4788045366824,549.1895736221494
1,1,2,1,1849,599.1616069887589,554.124823203624
1,1,2,2,1849,995.037930941074,577.2476093528992
1,1,3,1,2190,643.5073658304152,561.2759542506084
1,1,3,2,2190,1013.6585663343023,570.5960845376703
1,1,4,1,2634,768.6100304914735,561.6970042306402
1,1,4,2,2634,1065.4906284135136,530.5915459019391
1,1,5,1,3031,861.971416729982,566.314774592191
1,1,5,2,3031,1076.5211058966308,512.9874783715153
1,1,6,1,3422,857.4744856374259,554.4364223881647
1,1,6,2,3422,1071.3521850764769,501.2485926079874
1,1,7,1,3859,938.3178616707298,571.9866084488172
1,1,7,2,3859,1056.1368763912103,505.0921049697665
1,1,8,1,4298,1046.9370623286397,574.0341697295564
1,1,8,2,4298,1097.7028372841016,482.2880790457501
1,1,9,1,4701,1144.8767184448832,580.6742808923825
1,1,9,2,4701,1119.8162854743646,469.8096023177634
1,1,10,1,5007,1130.216342317764,569.1748893662186
1,1,10,2,5007,1105.1946234065133,462.60841741504635
1,1,11,1,5440,1024.5729304439474,556.4798807814044
1,1,11,2,5440,1050.5711342293293,472.802495494914
1,1,12,1,5764,912.1092155261111,564.5444528716017
1,1,12,2,5764,1076.6505666961475,500.39732234972064
1,1,13,1,6120,788.260854975194,552.696434066647
1,1,13,2,6120,1012.5241404940883,520.925535632274
1,1,14,1,6430,678.5845050434093,554.661524269811
1,1,14,2,6430,1032.528639013451,549.3790324064796
1,1,15,1,6617,660.9830573486116,546.2370574667777
1,1,15,2,6617,1023.5729745978158,544.4620226385432
1,1,16,1,6797,755.8394180384014,566.9461023395107
1,1,16,2,6797,1021.1796521712779,545.2494662857096
1,1,17,1,6975,688.4632312635592,557.8098695337028
1,1,17,2,6975,1021.831768729442,551.9342276660882
1,1,18,1,7244,760.4898487846338,570.4712514314348
1,1,18,2,7244,1021.2436151709293,548.3158511972173
1,1,19,1,7600,753.3380325252313,566.3066820053466
1,1,19,2,7600,1018.0612048240394,545.4873834557902
1,1,20,1,7900,797.3655838210664,545.9585525504987
1,1,20,2,7900,1031.9923750296102,508.7374268910455
1,1,21,1,8060,702.5305423121106,551.0524023308177
1,1,21,2,8060,967.9607052161558,545.6913963856564
1,1,22,1,8250,769.8495654432952,555.2368535570763
1,1,22,2,8250,1018.6329439304579,527.7777417506769
1,1,23,1,8485,708.3329754644582,550.9047130504432
1,1,23,2,8485,968.5980789983073,543.8491877101043
1,1,24,1,8880,712.4235278706714,554.839008673503
1,1,24,2,8880,971.308452202863,547.4893072838026
1,1,25,1,9580,775.6310749884798,571.1907851495548
1,1,25,2,9580,984.9396694446895,549.5353325220193
1,1,26,1,10089,767.3861832682527,537.9411620744663
1,1,26,2,10089,982.5501335887895,511.056902086527
1,1,27,1,10462,836.9365589858239,540.6533315748871
1,1,27,2,10462,1004.7299137406295,496.4450365929166
1,1,28,1,10850,927.541585766759,544.1845053673729
1,1,28,2,10850,1033.462209311172,479.31321924740257
1,1,29,1,11137,1016.3321404603704,581.0174068752963
1,1,29,2,11137,1033.2955369052468,501.2975710951057
1,1,30,1,11467,1025.0695548423298,547.9967567619104
1,1,30,2,11467,1047.476508502863,464.25068302600226
1,1,31,1,12022,1116.789877029571,539.379387606055
1,1,31,2,12022,1027.2183985375905,441.9071249990012
1,1,32,1,12346,1201.7682890533117,585.1929598763878
1,1,32,2,12346,1121.2927581606064,464.6358196432127
1,1,33,1,12843,1237.2368659227202,560.0583658023093
1,1,33,2,12843,1132.5568026450626,435.63958863210695
1,1,34,1,13116,1196.773124282982,676.8524005825282
1,1,34,2,13116,1151.7138552658635,545.2658254822837
1,1,35,1,13509,1012.1849944093346,553.2769683107664
1,1,35,2,13509,1154.6319062335485,462.8206350776642
1,1,36,1,13863,966.9902851391465,657.8713257264675
1,1,36,2,13863,1071.7870748424727,587.3303707690047
1,1,37,1,14230,795.1503834517116,536.3399116381448
1,1,37,2,14230,1024.5204746658333,498.56627181852843
1,1,38,1,14709,638.0887175036016,546.2375660324558
1,1,38,2,14709,978.8012512900718,556.3840206773625
1,1,39,1,15100,627.0504409495177,564.2222064418371
1,1,39,2,15100,1043.314578137892,575.7448981669963
1,1,40,1,15429,720.6933483040638,583.5913498468683
